No. Of Rates,QP,bits,bpp,Psnr
1,10,61783568,2.143,52.9822
2,15,35330376,1.226,48.9672
3,20,19357592,0.671,45.6669
4,25,10641968,0.369,42.8278
5,30,5874824,0.204,40.187
6,35,3377296,0.117,37.7838
7,40,1949712,0.068,35.1741
8,42,1555024,0.054,34.0756
9,45,1063520,0.037,32.4544
10,48,672864,0.023,30.8734
No. Of Rates,QP,bits,bpp,Psnr
1,10,60325752,2.093,52.9358
2,15,34145408,1.184,49.0805
3,20,19401120,0.673,46.0125
4,25,11405600,0.396,43.2192
5,30,6639896,0.23,40.3377
6,35,3723112,0.129,37.4233
7,40,2048112,0.071,34.5131
8,42,1593440,0.055,33.3587
9,45,1035720,0.036,31.6229
10,48,632184,0.022,30.0215
